"Name", "Stmts", "Miss", "Cover"
"gen_gtkmm/__init__.py", "8", "0", "100%"
"gen_gtkmm/core/__init__.py", "9", "0", "100%"
"gen_gtkmm/core/model/__init__.py", "9", "0", "100%"
"gen_gtkmm/core/model/project_setup.py", "14", "0", "100%"
"gen_gtkmm/core/service/__init__.py", "9", "0", "100%"
"gen_gtkmm/core/service/engine.py", "27", "0", "100%"
"gen_gtkmm/core/service/iservice.py", "14", "0", "100%"
"gen_gtkmm/core/service/isubprocessor.py", "14", "0", "100%"
"gen_gtkmm/engine.py", "57", "0", "100%"
"gen_gtkmm/infrastructure/cli/__init__.py", "9", "0", "100%"
"gen_gtkmm/infrastructure/cli/engine.py", "39", "0", "100%"
"gen_gtkmm/infrastructure/cli/icli.py", "14", "0", "100%"
"gen_gtkmm/infrastructure/cli/setup/__init__.py", "9", "0", "100%"
"gen_gtkmm/infrastructure/cli/setup/bundle.py", "22", "0", "100%"
"gen_gtkmm/infrastructure/cli/setup/dep_validator.py", "36", "0", "100%"
"gen_gtkmm/infrastructure/cli/setup/dependencies.py", "18", "0", "100%"
"gen_gtkmm/infrastructure/cli/setup/factory.py", "35", "0", "100%"
"gen_gtkmm/infrastructure/cli/setup/keys.py", "26", "0", "100%"
"gen_gtkmm/infrastructure/cli/setup/opt_validator.py", "36", "0", "100%"
"gen_gtkmm/infrastructure/cli/setup/options.py", "15", "0", "100%"
"gen_gtkmm/infrastructure/cli/setup/registry.py", "24", "0", "100%"
"gen_gtkmm/infrastructure/cli/setup/validator.py", "43", "0", "100%"
"gen_gtkmm/infrastructure/command/__init__.py", "9", "0", "100%"
"gen_gtkmm/infrastructure/command/command.py", "16", "0", "100%"
"gen_gtkmm/infrastructure/command/gen_gtkmm_command_definition.py", "24", "0", "100%"
"gen_gtkmm/infrastructure/command/gen_gtkmm_command_executor.py", "21", "0", "100%"
"gen_gtkmm/infrastructure/command/icommand_definition.py", "14", "0", "100%"
"gen_gtkmm/infrastructure/command/icommand_executor.py", "13", "0", "100%"
"gen_gtkmm/infrastructure/subprocessor.py", "55", "0", "100%"
"gen_gtkmm/setup/__init__.py", "9", "0", "100%"
"gen_gtkmm/setup/bundle.py", "23", "0", "100%"
"gen_gtkmm/setup/dep_validator.py", "36", "0", "100%"
"gen_gtkmm/setup/dependencies.py", "19", "0", "100%"
"gen_gtkmm/setup/factory.py", "48", "0", "100%"
"gen_gtkmm/setup/keys.py", "27", "0", "100%"
"gen_gtkmm/setup/opt_validator.py", "34", "0", "100%"
"gen_gtkmm/setup/options.py", "12", "0", "100%"
"gen_gtkmm/setup/registry.py", "32", "0", "100%"
"gen_gtkmm/setup/validator.py", "48", "0", "100%"
"Total", "927", "0", "100%"
